BIC;Name
AABSDE31XXX;Aachener Bausparkasse
AACSDE33;SPARKASSE AACHEN
AACSDE33XXX;Sparkasse Aachen
AARBDE5W;AAREAL BANK AG
AARBDE5W100;Aareal Bank
AARBDE5W200;Aareal Bank
AARBDE5W250;Aareal Bank
AARBDE5W360;Aareal Bank
AARBDE5W500;Aareal Bank
AARBDE5W550;Aareal Bank
AARBDE5W600;Aareal Bank
AARBDE5W700;Aareal Bank
AARBDE5W860;Aareal Bank
AARBDE5WCLE;Aareal Bank Clearing Wiesbaden
AARBDE5WDOM;Aareal Bank GF - BK01 -
AARBDE5WXXX;Aareal Bank
ABCADEFF;ABC INTERNATIONAL BANK PLC, ZWEIGNIEDERLASSUNG FRANKFURT AM MAIN
ABCADEFFXXX;ABC International Bank Frankfurt am Main
ABGRDEFF;PIRAEUS BANK SA (FRANKFURT BRANCH),EX AGRICULTURALBANK OF GREECE SA
ABGRDEFFXXX;Piraeus Bank Frankfurt Branch
ABKBDEB1;ALLGEMEINE BEAMTEN KASSE KREDITBANK AG
ABKBDEB1XXX;ABK Allgemeine Beamten Bank
ABOCDEFF;AGRICULTURAL BANK OF CHINA FRANKFURT BRANCH
ABOCDEFFXXX;Agricultural Bank of China, Frankfurt Branch
AGBMDEMM;AIRBUS GROUP BANK GMBH
AGBMDEMMXXX;Airbus Bank
AKBADES1;AKTIVBANK AKTIENGESELLSCHAFT
AKBADES1XXX;AKTIVBANK
AKBCDE31;SANTANDER CONSUMER BANK AG (FORMERLY AKB BANK AG)
AKBCDE31XXX;Santander Consumer Bank MG
AKBKDEFF;AKBANK AG
AKBKDEFFXXX;AKBANK
AKFBDE31;AKF BANK GMBH AND CO KG
AKFBDE31XXX;akf bank
ALTEDEFA;ALTE LEIPZIGER BAUSPAR AG
ALTEDEFAXXX;ALTE LEIPZIGER Bauspar
ANHODE77PAY;Bankhaus Anton Hafner (Gf PayCenter)
ANHODE77XXX;Bankhaus Anton Hafner
ARABDEFF;EUROPE ARAB BANK PLC
ARABDEFFXXX;Europe ARAB Bank
AUDFDE21;AUDI BANK ZWEIGNIEDERLASSUNG DER VOLKSWAGEN BANK GMBH
AUDFDE21XXX;Audi Bank Zndl d Volkswagen Bank
AUGBDE71NET;Augsburger Aktienbank (netbank)
AUGBDE77;AUGSBURGER AKTIENBANK AG
AUGBDE77XXX;Augsburger Aktienbank
AUGSDE77;STADTSPARKASSE AUGSBURG
AUGSDE77XXX;Stadtsparkasse Augsburg
AUSKDEFF;AKA AUSFUHRKREDIT-GESELLSCHAFT MBH
AUSKDEFFXXX;AKA Ausfuhrkredit GmbH
AUZDDEM1;AUTOBANK AG-ZWEIGNIEDERLASSUNG DEUTSCHLAND
AUZDDEM1XXX;Autobank
AXABDE31;AXA BANK AG
AXABDE31XXX;AXA Bank
BAERDEF1;BANK JULIUS BEAR EUROPE AG
BAERDEF1XXX;Bank Julius Bär Deutschland
BANVDEHB;OLDENBURGISCHE LANDESBANK AG
BANVDEHB300;Oldenburgische Landesbank
BANVDEHB500;Oldenburgische Landesbank
BANVDEHBXXX;Oldenburgische Landesbank
BARCDEFF;BARCLAYS BANK PLC - FRANKFURT BRANCH
BARCDEFFXXX;Barclays Bank Ireland Frankfurt Branch
BARCDEHA;BARCLAYCARD BARCLAYS BANK PLC
BARCDEHAXXX;Barclays Bank Ireland Hamburg Branch
BBKRDE6B;KREISSPARKASSE BOEBLINGEN
BBKRDE6BXXX;Kreissparkasse Böblingen
BBSPDE6K;DEUTSCHE BAUSPARKASSE BADENIA AKTIENGESELLSCHAFT
BBSPDE6KXXX;Deutsche Bausparkasse Badenia (ehem. DBS Bausparkasse)
BBVADEFF;BANCO BILBAO VIZCAYA ARGENTARIA SA.
BCDMDEF1XXX;BANQUE CHAABI DU MAROC Agentur Frankfurt Ndl. Deutschland
BCITDEFF;INTESA SANPAOLO S.P.A.-FRANKFURT
BCITDEFFMUC;INTESA SANPAOLO
BCITDEFFXXX;Intesa Sanpaolo Frankfurt
BCLSDE21;BANKHAUS C.L. SEELIGER KG
BCLSDE21XXX;Bankhaus C. L. Seeliger
BCLSDE22;BANKHAUS C.L. SEELIGER
BCMADEFF;ATTIJARIWAFA BANK EUROPE GERMANY
BCMADEFFXXX;Attijariwafa bank Europa ZNdl. Frankfurt
